TestCase,ProcessName,PID,Priority,LoadTime,StartTime,FinishTime,TurnaroundTime,WaitingTime,ExecutionTime
sched,p1s,1,1,0,1,20,20,10,10
sched,p2s,2,0,1,2,14,13,1,12
sched,p3s,3,0,2,5,16,14,6,8
sched_0,s0,1,4,0,1,23,23,9,14
sched_0,s1,2,0,4,5,12,8,0,8
sched_1,s0,1,4,0,1,46,46,32,14
sched_1,s1,2,0,4,5,22,18,8,10
sched_1,s2,3,0,6,7,34,28,14,14
sched_1,s3,4,0,7,11,35,28,16,12
os_0_mlq_paging,p0s,1,0,0,1,21,21,7,14
os_0_mlq_paging,p1s,2,15,2,3,25,23,19,4
os_0_mlq_paging,p1s,3,0,4,7,19,15,5,10
os_0_mlq_paging,p1s,4,0,6,9,23,17,9,8
os_1_mlq_paging,p0s,1,130,1,2,26,25,15,10
os_1_mlq_paging,s3,2,39,2,3,14,12,2,10
os_1_mlq_paging,m1s,3,15,4,5,11,7,1,6
os_1_mlq_paging,s2,4,120,6,7,20,14,6,8
os_1_mlq_paging,m0s,5,120,7,8,15,8,2,6
os_1_mlq_paging,p1s,6,15,9,10,20,11,3,8
os_1_mlq_paging,s0,7,38,11,13,28,17,5,12
os_1_mlq_paging,s1,8,0,16,17,24,8,0,8
os_1_mlq_paging_small_1K,p0s,1,130,1,2,26,25,15,10
os_1_mlq_paging_small_1K,s3,2,39,2,3,14,12,2,10
os_1_mlq_paging_small_1K,m1s,3,15,4,5,11,7,1,6
os_1_mlq_paging_small_1K,s2,4,120,6,7,20,14,6,8
os_1_mlq_paging_small_1K,m0s,5,120,7,8,15,8,2,6
os_1_mlq_paging_small_1K,p1s,6,15,9,10,20,11,3,8
os_1_mlq_paging_small_1K,s0,7,38,11,13,28,17,5,12
os_1_mlq_paging_small_1K,s1,8,0,16,17,24,8,0,8
os_1_mlq_paging_small_4K,p0s,1,130,1,2,26,25,15,10
os_1_mlq_paging_small_4K,s3,2,39,2,3,14,12,2,10
os_1_mlq_paging_small_4K,m1s,3,15,4,5,11,7,1,6
os_1_mlq_paging_small_4K,s2,4,120,6,7,20,14,6,8
os_1_mlq_paging_small_4K,m0s,5,120,7,8,15,8,2,6
os_1_mlq_paging_small_4K,p1s,6,15,9,10,20,11,3,8
os_1_mlq_paging_small_4K,s0,7,38,11,13,28,17,5,12
os_1_mlq_paging_small_4K,s1,8,0,16,17,24,8,0,8
os_1_singleCPU_mlq,s4,1,4,1,2,76,75,65,10
os_1_singleCPU_mlq,s3,2,3,2,4,67,65,55,10
os_1_singleCPU_mlq,m1s,3,2,4,6,36,32,24,8
os_1_singleCPU_mlq,s2,4,3,6,46,71,65,55,10
os_1_singleCPU_mlq,m0s,5,3,7,48,62,55,47,8
os_1_singleCPU_mlq,p1s,6,2,9,10,44,35,25,10
os_1_singleCPU_mlq,s0,7,1,11,12,34,23,3,20
os_1_singleCPU_mlq,s1,8,0,16,18,25,9,1,8
os_1_singleCPU_mlq_paging,s4,1,4,1,2,76,75,65,10
os_1_singleCPU_mlq_paging,s3,2,3,2,4,67,65,55,10
os_1_singleCPU_mlq_paging,m1s,3,2,4,6,36,32,24,8
os_1_singleCPU_mlq_paging,s2,4,3,6,46,71,65,55,10
os_1_singleCPU_mlq_paging,m0s,5,3,7,48,62,55,47,8
os_1_singleCPU_mlq_paging,p1s,6,2,9,10,44,35,25,10
os_1_singleCPU_mlq_paging,s0,7,1,11,12,34,23,3,20
os_1_singleCPU_mlq_paging,s1,8,0,16,18,25,9,1,8
os_sc,sc3,1,15,9,10,11,2,0,2
os_syscall,sc2,1,15,9,10,15,6,0,6
os_syscall_list,sc1,1,15,9,10,11,2,0,2
