TestCase,Slot,CPU,ProcessID,ProcessName,Priority,State,Event
sched,0,CPU0,0,,0,IDLE,Loaded P1
sched,0,CPU1,0,,0,IDLE,
sched,1,CPU0,0,,0,IDLE,Loaded P2
sched,1,CPU1,1,p1s,1,RUNNING,Dispatched
sched,2,CPU0,2,p2s,0,RUNNING,Dispatched;Loaded P3
sched,2,CPU1,1,p1s,1,RUNNING,
sched,3,CPU0,2,p2s,0,RUNNING,
sched,3,CPU1,1,p1s,1,RUNNING,
sched,4,CPU0,2,p2s,0,RUNNING,
sched,4,CPU1,1,p1s,1,RUNNING,
sched,5,CPU0,0,,0,IDLE,
sched,5,CPU1,3,p3s,0,RUNNING,P1→queue;Dispatched P3
sched,6,CPU0,2,p2s,0,RUNNING,P2→queue;Dispatched P2
sched,6,CPU1,3,p3s,0,RUNNING,
sched,7,CPU0,2,p2s,0,RUNNING,
sched,7,CPU1,3,p3s,0,RUNNING,
sched,8,CPU0,2,p2s,0,RUNNING,
sched,8,CPU1,3,p3s,0,RUNNING,
sched,9,CPU0,2,p2s,0,RUNNING,P3→queue;Dispatched P3
sched,9,CPU1,3,p3s,0,RUNNING,
sched,10,CPU0,2,p2s,0,RUNNING,P2→queue;Dispatched P2
sched,10,CPU1,3,p3s,0,RUNNING,
sched,11,CPU0,2,p2s,0,RUNNING,
sched,11,CPU1,3,p3s,0,RUNNING,
sched,12,CPU0,2,p2s,0,RUNNING,
sched,12,CPU1,3,p3s,0,RUNNING,
sched,13,CPU0,2,p2s,0,RUNNING,P3→queue;Dispatched P3
sched,13,CPU1,3,p3s,0,RUNNING,
sched,14,CPU0,1,p1s,1,RUNNING,P2 FINISHED;Dispatched P1
sched,14,CPU1,3,p3s,0,RUNNING,
sched,15,CPU0,1,p1s,1,RUNNING,
sched,15,CPU1,3,p3s,0,RUNNING,
sched,16,CPU0,1,p1s,1,RUNNING,P3 FINISHED
sched,16,CPU1,0,,0,STOPPED,
sched,17,CPU0,1,p1s,1,RUNNING,
sched,17,CPU1,0,,0,STOPPED,
sched,18,CPU0,1,p1s,1,RUNNING,P1→queue;Dispatched P1
sched,18,CPU1,0,,0,STOPPED,
sched,19,CPU0,1,p1s,1,RUNNING,
sched,19,CPU1,0,,0,STOPPED,
sched,20,CPU0,0,,0,STOPPED,P1 FINISHED
sched,20,CPU1,0,,0,STOPPED,
sched_0,0,CPU0,0,,0,IDLE,Loaded P1
sched_0,1,CPU0,1,s0,4,RUNNING,Dispatched
sched_0,2,CPU0,1,s0,4,RUNNING,
sched_0,3,CPU0,1,s0,4,RUNNING,P1→queue;Dispatched P1
sched_0,4,CPU0,1,s0,4,RUNNING,Loaded P2
sched_0,5,CPU0,2,s1,0,RUNNING,P1→queue;Dispatched P2 (higher prio)
sched_0,6,CPU0,2,s1,0,RUNNING,
sched_0,7,CPU0,2,s1,0,RUNNING,P2→queue;Dispatched P2
sched_0,8,CPU0,2,s1,0,RUNNING,
sched_0,9,CPU0,2,s1,0,RUNNING,P2→queue;Dispatched P2
sched_0,10,CPU0,2,s1,0,RUNNING,
sched_0,11,CPU0,2,s1,0,RUNNING,P2→queue;Dispatched P2
sched_0,12,CPU0,1,s0,4,RUNNING,P2 FINISHED;Dispatched P1
sched_0,13,CPU0,1,s0,4,RUNNING,
sched_0,14,CPU0,1,s0,4,RUNNING,P1→queue;Dispatched P1
sched_0,15,CPU0,1,s0,4,RUNNING,
sched_0,16,CPU0,1,s0,4,RUNNING,P1→queue;Dispatched P1
sched_0,17,CPU0,1,s0,4,RUNNING,
sched_0,18,CPU0,1,s0,4,RUNNING,P1→queue;Dispatched P1
sched_0,19,CPU0,1,s0,4,RUNNING,
sched_0,20,CPU0,1,s0,4,RUNNING,P1→queue;Dispatched P1
sched_0,21,CPU0,1,s0,4,RUNNING,
sched_0,22,CPU0,1,s0,4,RUNNING,P1→queue;Dispatched P1
sched_0,23,CPU0,0,,0,STOPPED,P1 FINISHED
sched_1,0,CPU0,0,,0,IDLE,Loaded P1
sched_1,1,CPU0,1,s0,4,RUNNING,Dispatched
sched_1,2,CPU0,1,s0,4,RUNNING,
sched_1,3,CPU0,1,s0,4,RUNNING,P1→queue;Dispatched P1
sched_1,4,CPU0,1,s0,4,RUNNING,Loaded P2
sched_1,5,CPU0,2,s1,0,RUNNING,P1→queue;Dispatched P2
sched_1,6,CPU0,2,s1,0,RUNNING,Loaded P3
sched_1,7,CPU0,3,s2,0,RUNNING,P2→queue;Dispatched P3;Loaded P4
sched_1,8,CPU0,3,s2,0,RUNNING,
sched_1,9,CPU0,2,s1,0,RUNNING,P3→queue;Dispatched P2
sched_1,10,CPU0,2,s1,0,RUNNING,
sched_1,11,CPU0,4,s3,0,RUNNING,P2→queue;Dispatched P4
sched_1,12,CPU0,4,s3,0,RUNNING,
sched_1,13,CPU0,3,s2,0,RUNNING,P4→queue;Dispatched P3
sched_1,14,CPU0,3,s2,0,RUNNING,
